#Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
1_465_-1,1,465,-1,3.5,-0.006950447,0.025540404,0.333570138,-0.00208014,-0.022037446,0.00152227
1_465_0,1,465,0,3.5,-0.007940652,0.02267951,0.34156441,-0.002180348,-0.022784718,0.001322418
2_465_-5,2,465,-5,3.5,-0.010747968,0.038113591,0.304183121,-0.001822911,-0.019308343,0.002252262
2_465_-4,2,465,-4,3.5,-0.011024582,0.035363211,0.313902844,-0.001930444,-0.020078307,0.00208309
2_465_-3,2,465,-3,3.5,-0.010930156,0.031996792,0.320670476,-0.001966279,-0.020582623,0.001868109
2_465_-2,2,465,-2,3.5,-0.010542875,0.028873855,0.327185572,-0.002112979,-0.021206647,0.001691727
2_465_-1,2,465,-1,3.5,-0.010439232,0.025172427,0.330897117,-0.002144139,-0.021575776,0.001495148
2_465_0,2,465,0,3.5,-0.011685358,0.021986012,0.34025166,-0.002297099,-0.022523375,0.001284288
3_465_-5,3,465,-5,3.5,-0.01489501,0.037860203,0.305480807,-0.001903785,-0.019316567,0.002217593
3_465_-4,3,465,-4,3.5,-0.015170883,0.03500175,0.314030953,-0.001997853,-0.020030387,0.002046762
3_465_-3,3,465,-3,3.5,-0.015271214,0.031709495,0.320385984,-0.002079946,-0.020593518,0.00184698
3_465_-2,3,465,-2,3.5,-0.015243593,0.028535853,0.326824548,-0.002196451,-0.02116601,0.001659178
3_465_-1,3,465,-1,3.5,-0.015088363,0.025078857,0.332657905,-0.002290006,-0.021644718,0.001445871
