Case,Cone_Angle,Omega_RPM,Pitch_Angle,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Vz_ms,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f)
5_225.0_-3,5,225,-3,2000,-0.012146776,0.010968697,0.117893261,-0.000988371,-0.006710041,0.000550638,2.25,1.402796,1.117899,-0.2468756,1.77393,-2.020805,1.897367,0.1424488,-0.2766227,-0.2281615,-0.3907035,0.1625419
5_228.125_-3,5,228.125,-3,2000,-0.003067672,0.004305857,0.048093753,-0.000261057,-0.003243361,0.000240858,1.25,1.84048,1.507706,-0.1906248,2.891201,-3.081826,2.986514,0.166387,-0.2312519,-0.2648994,-0.3637015,0.09880217
5_231.25_-3,5,231.25,-3,2000,-0.00305246,0.004292745,0.048374229,-0.000258998,-0.003267871,0.000240924,1.25,1.849004,1.518866,-0.1897384,2.914386,-3.104125,3.009255,0.1650692,-0.2291994,-0.2629136,-0.3606562,0.0977426
5_234.375_-3,5,234.375,-3,2000,-0.003025129,0.004257961,0.04857815,-0.000256533,-0.003288363,0.000240974,1.25,1.854871,1.527415,-0.1880683,2.934302,-3.12237,3.028336,0.1637277,-0.2267757,-0.2592918,-0.3564216,0.0971298
5_236.25_-3,5,236.25,-3,2000,-0.006127009,0.007867049,0.080729144,-0.000558286,-0.005184865,0.000441579,1.75,1.61003,1.250043,-0.1986864,2.32951,-2.528196,2.428853,0.1799939,-0.2562938,-0.2616226,-0.3871051,0.1254825
5_237.5_-3,5,237.5,-3,2000,-0.002931112,0.003949534,0.047793137,-0.000244402,-0.003257711,0.000240677,1.25,1.825369,1.502894,-0.182728,2.9096,-3.092328,3.000964,0.1612373,-0.2154311,-0.2357145,-0.3332884,0.09757384
5_240_-3,5,240,-3,1914,-0.001777008,0.002228372,0.031641378,-0.000141764,-0.002259779,0.000123041,1,1.797272,1.65357,-0.1758255,3.1745,-3.350326,3.262413,0.07185099,-0.1896082,-0.1759668,-0.2775916,0.1016248
5_240_-3,5,240,-3,2000,-0.020039131,0.014838021,0.172201127,-0.001631016,-0.008654729,0.000505018,3,1.105239,0.962243,-0.2341159,1.257492,-1.491608,1.37455,0.07149795,-0.2574565,-0.1754402,-0.3451766,0.1697364
5_240_-3,5,240,-3,2000,-0.008396743,0.009083179,0.098122642,-0.000763011,-0.006089899,0.000516949,2,1.493032,1.166195,-0.2122073,2.076472,-2.288679,2.182576,0.1634183,-0.2689652,-0.2316502,-0.3847903,0.1531401
5_240.625_-3,5,240.625,-3,2000,-0.002879755,0.003793677,0.047111229,-0.000237089,-0.003244465,0.000237816,1.25,1.796979,1.484165,-0.1796387,2.899478,-3.079117,2.989298,0.1564072,-0.2085826,-0.2246803,-0.3209228,0.09624248
5_243.75_-3,5,243.75,-3,2000,-0.002851413,0.003758247,0.046967817,-0.000234275,-0.003254591,0.000234592,1.25,1.78727,1.484146,-0.1779736,2.909907,-3.087881,2.998894,0.1515619,-0.205821,-0.2212671,-0.3164545,0.09518743
5_250.0_-3,5,250,-3,2000,-0.014979796,0.013551281,0.145757126,-0.001222824,-0.008298191,0.000682275,2.5,1.405375,1.118002,-0.2472132,1.776287,-2.023501,1.899894,0.1436861,-0.2772652,-0.228627,-0.3915787,0.1629517
5_250.0_-3,5,250,-3,2000,-0.002817214,0.003724264,0.047036736,-0.000230204,-0.003283289,0.000229184,1.25,1.781525,1.494974,-0.1763141,2.937564,-3.113879,3.025722,0.1432753,-0.2017292,-0.2168548,-0.3101566,0.09330176
5_255_-3,5,255,-3,1976,-0.001755562,0.00219689,0.03231154,-0.000144343,-0.002316782,0.000115801,1,1.81162,1.712769,-0.1757528,3.258234,-3.433987,3.346111,0.04942554,-0.191864,-0.164694,-0.274211,0.1095169
