Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
9_180_-3,9,180,-3,1,-0.00394891,0.002723208,0.031242315,-0.000200926,-0.002098252,0.000142689,3.408349,-0.40341,3.026718,0.1444839,-0.274622,-0.2565333
7_135_5,7,135,5,1,-0.003624364,-0.00050445,0.031238663,-0.000261137,-0.002063402,-7.33E-05,3.390814,-0.3564599,2.952814,-0.1431895,-0.3612881,0.079246
1_285_-3,1,285,-3,1,0.000173567,0.002130193,0.031227161,-5.86E-05,-0.002248816,9.69E-05,3.407308,0.03341445,3.25005,1.59E-05,-0.07702362,-0.1459504
11_150_1,11,150,1,1,-0.005334129,0.001259603,0.031147444,-0.000261028,-0.002077375,1.91E-05,3.391886,-0.5487947,2.98509,-0.01773017,-0.3594645,-0.1082148
9_150_1,9,150,1,1,-0.004322239,0.001256196,0.031082032,-0.000246934,-0.002074352,3.30E-05,3.382271,-0.4387238,2.979478,0.001555216,-0.3407424,-0.1069308
7_195_-3,7,195,-3,1,-0.002826354,0.002460885,0.031037524,-0.000169888,-0.002125583,0.000146863,3.385435,-0.2836466,3.066863,0.1401468,-0.2309578,-0.2206763
5_225_-3,5,225,-3,1,-0.001795581,0.002280238,0.031004721,-0.000141294,-0.002202277,0.00013145,3.381061,-0.1755525,3.178241,0.09527841,-0.1902295,-0.1889779
1_210_-1,-1,210,-1,1,0.000712548,0.002328432,0.030964137,-8.48E-05,-0.002266676,0.000140892,3.360289,0.104855,3.249776,0.1118065,-0.1163416,-0.1982137
11_175_-3,11,175,-3,1,-0.004939468,0.002724559,0.030937775,-0.000216756,-0.002078824,0.000134135,3.376698,-0.5112617,2.999287,0.1357165,-0.2957254,-0.2579761
7_180_-3,7,180,-3,1,-0.002949162,0.002747144,0.030936053,-0.000182287,-0.002072649,0.00014921,3.373093,-0.2943144,2.988627,0.1539486,-0.2503639,-0.2605528
5_180_1,-5,180,1,1,0.002982868,0.001133996,0.03090409,-0.000112337,-0.002177725,5.58E-05,3.340478,0.347849,3.108512,0.01909701,-0.1598446,-0.08939223
7_210_-3,7,210,-3,1,-0.002760793,0.002307874,0.030871534,-0.000162776,-0.002169781,0.000136602,3.36799,-0.2790549,3.131875,0.1138706,-0.2191117,-0.1980759
3_240_-3,3,240,-3,1,-0.000873352,0.002223224,0.030857691,-0.000109582,-0.002202788,0.000121746,3.363809,-0.07661605,3.178251,0.0711066,-0.1476833,-0.1776329
11_285_5,11,285,5,1,-0.00456474,-0.002868868,0.030838206,-0.000407121,-0.003009285,-0.000424312,3.32676,-0.452399,4.286429,-0.7668657,-0.5312742,0.429859
9_270_-5,9,270,-5,1,-0.003558525,0.002546581,0.030804818,-0.000192075,-0.002137737,0.000133913,3.370428,-0.3838223,3.105533,0.05763972,-0.2491479,-0.1883761
9_175_-3,9,175,-3,1,-0.003929526,0.002722438,0.030786394,-0.000200954,-0.002058264,0.000142752,3.358471,-0.4011767,2.968809,0.1475908,-0.2752677,-0.258629
7_150_1,7,150,1,1,-0.003280764,0.001330377,0.030778075,-0.000230534,-0.002069988,4.46E-05,3.346617,-0.3246347,2.971322,0.01711432,-0.3184037,-0.113747
5_135_5,5,135,5,1,-0.00266084,-0.000455877,0.030761773,-0.000245523,-0.002051101,-6.59E-05,3.33554,-0.2509829,2.932444,-0.1325358,-0.3400244,0.07353064
11_255_-5,11,255,-5,1,-0.004574845,0.002613185,0.030749654,-0.00021393,-0.002142077,0.000140251,3.363232,-0.4911306,3.108873,0.08100451,-0.278294,-0.2034314
1_270_-3,1,270,-3,1,8.37E-05,0.002173654,0.030669872,-6.05E-05,-0.002203435,0.000106561,3.345085,0.02608322,3.182112,0.02627469,-0.08044348,-0.1585372
11_135_3,11,135,3,1,-0.005444599,0.000344055,0.030665048,-0.000276912,-0.001995208,-3.66E-05,3.337636,-0.5568775,2.862919,-0.08963813,-0.3831395,-0.01292173
5_150_1,5,150,1,1,-0.002300687,0.00141126,0.03064091,-0.000212768,-0.002074424,5.82E-05,3.328631,-0.2165238,2.975115,0.03488158,-0.2942812,-0.1206971
5_195_1,-5,195,1,1,0.003055189,0.001025056,0.030636667,-7.86E-05,-0.00223156,4.75E-05,3.312439,0.3545635,3.186063,-0.003294202,-0.1123029,-0.07289885
7_285_-5,7,285,-5,1,-0.002521835,0.002466281,0.030610319,-0.000163081,-0.002115303,0.000124427,3.351002,-0.2740984,3.076405,0.03057842,-0.2107096,-0.1724575
1_195_-1,-1,195,-1,1,0.000575942,0.002245208,0.030577097,-9.63E-05,-0.002207214,0.000142248,3.316845,0.09219321,3.162649,0.1254697,-0.1330605,-0.1965707
5_180_-3,5,180,-3,1,-0.001995579,0.002749433,0.030487571,-0.000166149,-0.002052025,0.000153325,3.32164,-0.190239,2.956917,0.1600186,-0.2294304,-0.2612403
7_175_-3,7,175,-3,1,-0.002943339,0.002763841,0.03047543,-0.000182885,-0.002035572,0.000149123,3.322654,-0.2935201,2.934846,0.1568905,-0.2517093,-0.2646582
3_150_1,3,150,1,1,-0.001364897,0.001508939,0.030461008,-0.000196704,-0.002069454,6.85E-05,3.305573,-0.113503,2.96516,0.04978876,-0.2728682,-0.1324192
3_135_5,3,135,5,1,-0.001740231,-0.000497692,0.030454241,-0.000229444,-0.002047572,-6.06E-05,3.297445,-0.1490038,2.923637,-0.1258425,-0.317966,0.07875541
5_300_-5,5,300,-5,1,-0.001521206,0.002372433,0.030442338,-0.000138261,-0.002102234,0.000105368,3.33372,-0.1671336,3.058924,-0.006784306,-0.1799288,-0.1575618
5_210_-3,5,210,-3,1,-0.001809835,0.002332136,0.030373961,-0.000142822,-0.002138611,0.00013972,3.311966,-0.1749255,3.08541,0.1181,-0.1936403,-0.2016905
