Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
7_425_-2,7,4.250000e+02,-2,3.500000e+00,2000,-4.449406e-02,3.248741e-02,3.137492e-01,-2.403182e-03,-2.015348e-02,1.917556e-03,2.772608e+00,1.586430e+00,1.186178e+00,-3.667326e-01,2.166699e+00,-2.533432e+00,2.350066e+00,2.001260e-01,-2.743201e-01,-2.728162e-01,-4.107282e-01,1.379120e-01
7_425_-1,7,4.250000e+02,-1,3.500000e+00,2000,-4.544693e-02,2.860822e-02,3.199977e-01,-2.510725e-03,-2.064515e-02,1.640510e-03,2.827652e+00,1.581214e+00,1.246438e+00,-3.741013e-01,2.219841e+00,-2.593942e+00,2.406892e+00,1.673881e-01,-2.868050e-01,-2.391534e-01,-4.063817e-01,1.672283e-01
7_425_0,7,4.250000e+02,0,3.500000e+00,2000,-4.643057e-02,2.428911e-02,3.278132e-01,-2.599729e-03,-2.123889e-02,1.340640e-03,2.895879e+00,1.581170e+00,1.314709e+00,-3.824464e-01,2.283524e+00,-2.665971e+00,2.474748e+00,1.332303e-01,-2.971945e-01,-2.022365e-01,-3.983128e-01,1.960763e-01
7_450_-2,7,4.500000e+02,-2,3.500000e+00,2000,-4.391031e-02,3.428813e-02,3.215953e-01,-2.466624e-03,-2.108034e-02,2.049252e-03,2.842610e+00,1.633344e+00,1.209265e+00,-3.597088e-01,2.278814e+00,-2.638523e+00,2.458668e+00,2.120395e-01,-2.809835e-01,-2.856830e-01,-4.238250e-01,1.381420e-01
7_450_-1,7,4.500000e+02,-1,3.500000e+00,2000,-4.506851e-02,3.033305e-02,3.282842e-01,-2.536354e-03,-2.159719e-02,1.759936e-03,2.901330e+00,1.629350e+00,1.271980e+00,-3.694879e-01,2.333677e+00,-2.703165e+00,2.518421e+00,1.786849e-01,-2.892081e-01,-2.522528e-01,-4.153345e-01,1.630817e-01
7_450_0,7,4.500000e+02,0,3.500000e+00,2000,-4.644886e-02,2.571174e-02,3.378122e-01,-2.575799e-03,-2.224059e-02,1.459415e-03,2.984473e+00,1.637682e+00,1.346791e+00,-3.818125e-01,2.401103e+00,-2.782915e+00,2.592009e+00,1.454456e-01,-2.939926e-01,-2.136445e-01,-4.008148e-01,1.871703e-01
7_475_-2,7,4.750000e+02,-2,3.500000e+00,2000,-4.365595e-02,3.686112e-02,3.330604e-01,-2.403293e-03,-2.209945e-02,2.214649e-03,2.944428e+00,1.701937e+00,1.242491e+00,-3.559481e-01,2.399987e+00,-2.755935e+00,2.577961e+00,2.297229e-01,-2.732382e-01,-3.076904e-01,-4.270834e-01,1.193929e-01
7_475_-1,7,4.750000e+02,-1,3.500000e+00,2000,-4.498627e-02,3.235079e-02,3.401904e-01,-2.489960e-03,-2.264158e-02,1.920081e-03,3.006984e+00,1.698950e+00,1.308035e+00,-3.673651e-01,2.457025e+00,-2.824390e+00,2.640707e+00,1.954574e-01,-2.833493e-01,-2.685057e-01,-4.176022e-01,1.490964e-01
7_475_0,7,4.750000e+02,0,3.500000e+00,2000,-4.637535e-02,2.768852e-02,3.494329e-01,-2.531406e-03,-2.332994e-02,1.606453e-03,3.087610e+00,1.704286e+00,1.383325e+00,-3.797667e-01,2.529587e+00,-2.909353e+00,2.719470e+00,1.604805e-01,-2.883183e-01,-2.293133e-01,-4.029749e-01,1.736616e-01
7_500_-2,7,5.000000e+02,-2,3.500000e+00,2000,-4.366256e-02,3.954188e-02,3.445590e-01,-2.357508e-03,-2.305717e-02,2.353892e-03,3.046537e+00,1.767191e+00,1.279346e+00,-3.546101e-01,2.512802e+00,-2.867412e+00,2.690107e+00,2.439224e-01,-2.674839e-01,-3.305192e-01,-4.327436e-01,1.022243e-01
7_500_-1,7,5.000000e+02,-1,3.500000e+00,2000,-4.485048e-02,3.491906e-02,3.520816e-01,-2.472904e-03,-2.368743e-02,2.063791e-03,3.112608e+00,1.765950e+00,1.346658e+00,-3.645078e-01,2.580879e+00,-2.945386e+00,2.763133e+00,2.096463e-01,-2.808140e-01,-2.894391e-01,-4.255335e-01,1.360944e-01
7_500_0,7,5.000000e+02,0,3.500000e+00,2000,-4.649274e-02,2.970658e-02,3.612398e-01,-2.537880e-03,-2.440302e-02,1.725749e-03,3.192373e+00,1.767940e+00,1.424433e+00,-3.792261e-01,2.655347e+00,-3.034573e+00,2.844960e+00,1.717539e-01,-2.885012e-01,-2.451651e-01,-4.110838e-01,1.659187e-01
7_525_-2,7,5.250000e+02,-2,3.500000e+00,2000,-4.369601e-02,4.155157e-02,3.546249e-01,-2.325467e-03,-2.388384e-02,2.467833e-03,3.135967e+00,1.822546e+00,1.313421e+00,-3.539563e-01,2.610063e+00,-2.964019e+00,2.787041e+00,2.545625e-01,-2.632578e-01,-3.467992e-01,-4.366574e-01,8.985820e-02
7_525_-1,7,5.250000e+02,-1,3.500000e+00,2000,-4.475454e-02,3.740488e-02,3.633501e-01,-2.458275e-03,-2.466177e-02,2.178423e-03,3.212690e+00,1.826800e+00,1.385890e+00,-3.622517e-01,2.696073e+00,-3.058324e+00,2.877198e+00,2.204552e-01,-2.786016e-01,-3.100036e-01,-4.336034e-01,1.235998e-01
7_525_0,7,5.250000e+02,0,3.500000e+00,2000,-4.664300e-02,3.167923e-02,3.728613e-01,-2.548810e-03,-2.543555e-02,1.825339e-03,3.295468e+00,1.828280e+00,1.467188e+00,-3.790545e-01,2.776163e+00,-3.155217e+00,2.965690e+00,1.805460e-01,-2.892022e-01,-2.606555e-01,-4.195300e-01,1.588745e-01
7_550_-2,7,5.500000e+02,-2,3.500000e+00,2000,-4.362143e-02,4.238529e-02,3.633181e-01,-2.300879e-03,-2.455810e-02,2.561942e-03,3.213247e+00,1.868772e+00,1.344474e+00,-3.529341e-01,2.689823e+00,-3.042757e+00,2.866290e+00,2.621489e-01,-2.598427e-01,-3.519905e-01,-4.358380e-01,8.384748e-02
7_550_-1,7,5.500000e+02,-1,3.500000e+00,2000,-4.458153e-02,3.884243e-02,3.727624e-01,-2.430644e-03,-2.546779e-02,2.261575e-03,3.296293e+00,1.875348e+00,1.420945e+00,-3.602863e-01,2.791569e+00,-3.151856e+00,2.971713e+00,2.272013e-01,-2.748696e-01,-3.209365e-01,-4.353378e-01,1.144013e-01
7_550_0,7,5.500000e+02,0,3.500000e+00,2000,-4.652314e-02,3.367182e-02,3.830961e-01,-2.554469e-03,-2.638640e-02,1.903770e-03,3.386298e+00,1.879964e+00,1.506334e+00,-3.769536e-01,2.888442e+00,-3.265396e+00,3.076919e+00,1.868150e-01,-2.893239e-01,-2.766613e-01,-4.276545e-01,1.509932e-01
5_400_-2,5,4.000000e+02,-2,3.500000e+00,2000,-3.349512e-02,2.978672e-02,2.998604e-01,-2.286132e-03,-1.882324e-02,1.810694e-03,2.648519e+00,1.513539e+00,1.134980e+00,-2.728989e-01,2.058280e+00,-2.331179e+00,2.194730e+00,1.892797e-01,-2.619287e-01,-2.504495e-01,-3.871534e-01,1.367039e-01
5_400_-1,5,4.000000e+02,-1,3.500000e+00,2000,-3.454404e-02,2.595940e-02,3.080799e-01,-2.372694e-03,-1.937026e-02,1.570646e-03,2.720658e+00,1.521574e+00,1.199085e+00,-2.810684e-01,2.117381e+00,-2.398450e+00,2.257916e+00,1.612448e-01,-2.720441e-01,-2.171360e-01,-3.806121e-01,1.634761e-01
5_400_0,5,4.000000e+02,0,3.500000e+00,2000,-3.528939e-02,2.174210e-02,3.147415e-01,-2.439931e-03,-1.989715e-02,1.285837e-03,2.779309e+00,1.517947e+00,1.261363e+00,-2.869779e-01,2.175170e+00,-2.462148e+00,2.318659e+00,1.282919e-01,-2.799203e-01,-1.807983e-01,-3.703195e-01,1.895211e-01
5_425_-2,5,4.250000e+02,-2,3.500000e+00,2000,-3.249193e-02,3.161701e-02,3.076970e-01,-2.298297e-03,-1.978456e-02,1.965769e-03,2.718398e+00,1.563567e+00,1.154831e+00,-2.620982e-01,2.176301e+00,-2.438399e+00,2.307350e+00,2.043683e-01,-2.627868e-01,-2.638649e-01,-3.947193e-01,1.308544e-01
5_425_-1,5,4.250000e+02,-1,3.500000e+00,2000,-3.375239e-02,2.763626e-02,3.152991e-01,-2.381635e-03,-2.031797e-02,1.717036e-03,2.785014e+00,1.567594e+00,1.217420e+00,-2.724746e-01,2.232750e+00,-2.505225e+00,2.368987e+00,1.750868e-01,-2.724789e-01,-2.289186e-01,-3.869382e-01,1.580196e-01
5_425_0,5,4.250000e+02,0,3.500000e+00,2000,-3.472724e-02,2.341770e-02,3.227963e-01,-2.438523e-03,-2.089855e-02,1.424795e-03,2.850946e+00,1.566881e+00,1.284066e+00,-2.803710e-01,2.295717e+00,-2.576088e+00,2.435903e+00,1.414075e-01,-2.791775e-01,-1.929818e-01,-3.756684e-01,1.826866e-01
