# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
5_585_-3,-5,585,-3,3,0.021419766,0.024166155,0.236152985,-0.000463804,-0.016641636,0.001476488,2.836389,0.2716968,2.643652,0.1883882,-0.07574366,-0.2608266
5_585_-5,-5,585,-5,3,0.018037984,0.027157693,0.21671818,-0.000369338,-0.01486077,0.001647415,2.605966,0.2321746,2.364714,0.2177767,-0.06150485,-0.2972514
5_585_-7,-5,585,-7,3,0.015379241,0.028176608,0.197143752,-0.000281269,-0.012984641,0.001653113,2.373949,0.1994491,2.070911,0.2211829,-0.04811303,-0.3109411
5_585_0,-5,585,0,3,0.027337083,0.014486479,0.268186102,-0.000683511,-0.019405936,0.000826727,3.216105,0.3404479,3.075998,0.08622244,-0.1092637,-0.1483068
5_585_1,-5,585,1,3,0.028455012,0.009914643,0.27849089,-0.000725195,-0.020247894,0.000493425,3.338205,0.3540709,3.207267,0.03675365,-0.1152772,-0.09675655
5_585_3,-5,585,3,3,0.030353074,0.000254412,0.299573712,-0.000800482,-0.021934089,-0.000227829,3.588305,0.3791646,3.470715,-0.07165069,-0.1259972,0.01413056
5_585_5,-5,585,5,3,0.032757462,-0.009042198,0.321835157,-0.001083807,-0.023674863,-0.001109313,3.85247,0.4109455,3.743496,-0.2075691,-0.1697506,0.1234538
5_630_-1,-5,630,-1,3,0.026565578,0.018650457,0.260078007,-0.000427461,-0.018952547,0.001026015,3.121016,0.3307814,3.006864,0.1091525,-0.06981224,-0.1917373
5_630_-3,-5,630,-3,3,0.021675347,0.023889363,0.23874329,-0.000324877,-0.016998344,0.001354686,2.868282,0.2744776,2.701273,0.1627521,-0.05434989,-0.2534283
5_630_-5,-5,630,-5,3,0.018728055,0.02635443,0.216004186,-0.000263233,-0.014848937,0.001504285,2.599089,0.2401522,2.36521,0.1885783,-0.04538492,-0.2834016
5_630_-7,-5,630,-7,3,0.015559007,0.026804644,0.195195558,-0.00016362,-0.01281083,0.001454166,2.352586,0.2009078,2.046097,0.1838255,-0.03019706,-0.2908219
5_630_0,-5,630,0,3,0.028264815,0.014637863,0.272620312,-0.000529761,-0.020074231,0.000705593,3.269506,0.3510458,3.182202,0.06003959,-0.08539255,-0.1457916
5_630_1,-5,630,1,3,0.029684487,0.010154148,0.283017632,-0.000564492,-0.020994967,0.000368115,3.392601,0.3681014,3.325788,0.01024582,-0.09022457,-0.09566673
5_630_3,-5,630,3,3,0.032562038,0.000530074,0.304574361,-0.000651158,-0.022865829,-0.000382817,3.648075,0.4052237,3.618071,-0.1026882,-0.1026296,0.01413213
5_630_5,-5,630,5,3,0.035109239,-0.00946295,0.326628333,-0.000777836,-0.024761871,-0.001224097,3.910146,0.4386494,3.915514,-0.2308312,-0.1214302,0.1300868
