Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_180_5,0,180,5,1,0.000506455,-0.001043673,0.037595401,-0.000194264,-0.002692397,-0.000152036
5_330_10,5,330,10,1,-0.018321947,-0.045087317,0.213209814,-0.002225853,-0.015360525,-0.003974919
0_240_5,0,240,5,1,0.001010112,-0.001793938,0.04234424,-0.000128359,-0.003290043,-0.000255586
10_660_10,10,660,10,1,-0.01958095,-0.03487182,0.113919849,-0.000706201,-0.010261628,-0.003819492
10_180_0,10,180,0,1,-0.004740875,0.001403922,0.034970339,-0.000242851,-0.00241567,8.07E-06
10_480_10,10,480,10,1,-0.170982739,-0.205813684,0.904898581,-0.011529182,-0.071584855,-0.02017149
10_270_10,10,270,10,1,-0.012296532,-0.015181898,0.081770142,-0.000468546,-0.006058624,-0.001409898
10_600_10,10,600,10,1,-0.015968623,-0.028981806,0.094980294,-0.000672349,-0.009039966,-0.003239749
5_540_0,5,540,0,1,-0.002955751,-0.00479573,0.045764484,-0.000347773,-0.00408546,-0.000804676
0_270_-5,0,270,-5,1,0.00055342,0.001802345,0.027197135,-3.57E-05,-0.001865811,2.81E-05
5_630_0,5,630,0,1,-0.004173374,-0.006577709,0.053022777,-0.000424183,-0.004707965,-0.00110592
10_210_0,10,210,0,1,-0.004905635,0.001060123,0.037800486,-0.000236233,-0.002701197,-1.67E-05
0_480_5,0,480,5,1,0.001574607,-0.008999996,0.049743033,-0.000103741,-0.004860963,-0.001068774
5_570_10,5,570,10,1,-0.005733291,-0.02488665,0.086754902,-0.000457192,-0.008367735,-0.002711594
5_300_0,5,300,0,1,-0.002007859,5.45E-05,0.04189245,-0.000178151,-0.003179607,-0.000119988
